flownumberfrom,flownumberto,parentflownumberfrom,parentflownumberto,navigation,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
,,,,,-27.538,299.493,-576.858,546.826,1.387,1.178,46637,40952,1
,,,,,-5.543,300.479,-573.817,556.761,1.385,1.164,47050,42142,1
,,,,,6.584,299.827,-556.235,567.545,1.274,1.2,55370,41755,1
,,,,,9.203,299.793,-551.105,576.579,1.384,1.18,46923,41083,1
,,,,,-1.313,300.465,-567.592,557.781,1.369,1.16,48167,42620,1
,,,,,-0.677,299.784,-560.017,565.773,1.376,1.238,47458,39809,1
,,,,,4.466,296.828,-561.274,558.453,1.276,1.218,54149,40855,1
,,,,,0.622,298.437,-570.903,547.172,1.321,1.34,51057,37356,1
,,,,,0.895,299.983,-549.075,578.673,1.363,1.183,48473,40394,1
,,,,,66.862,258.384,-428.784,545.561,0.941,1.364,75404,33296,1
,,,,,-1.37,301.094,-582.024,552.094,1.4,1.14,46217,41606,1
,,,,,-21.673,298.593,-590.415,534.034,1.352,1.494,48789,32896,1
,,,,,0.892,300.985,-554.226,576.364,1.392,1.152,46754,42571,1
,,,,,2.162,297.385,-547.041,568.258,1.36,1.199,47844,40086,1
,,,,,-306.076,280.569,-839.408,216.683,1.223,0.902,52628,44960,1
